A,B,C,D,E,F,G,H,I,J
🔄 REORDER DASHBOARD,,,,,,,,,
,,,,,,,,,
📋 ITEMS NEEDING REORDER,,,,,,,,,
,,,,,,,,,
Product Name,Current Stock,Min Level,Reorder To,Order Qty,Supplier,Cost per Unit,Total Cost,Priority,Action
,,,,,,,,,
Drunk Elephant Vitamin C,0,2,8,8,Glamour Wholesale,$28.00,$224.00,🔴 URGENT,ORDER NOW
Fenty Beauty Foundation 210,2,3,15,13,Beauty Supply Co,$18.00,$234.00,🔴 HIGH,ORDER NOW
Urban Decay Eyeshadow Palette,1,2,10,9,Premium Cosmetics,$25.00,$225.00,🔴 HIGH,ORDER NOW
Charlotte Tilbury Lipstick,3,3,12,9,Premium Cosmetics,$20.00,$180.00,🟡 MEDIUM,Consider Order
,,,,,,,,,
📊 REORDER SUMMARY,,,,,,,,,
,,,,,,,,,
Total Items to Reorder:,4,,Total Order Value:,$863.00,,Urgent Orders:,3,
Average Days Out of Stock:,12,,Est. Delivery Time:,18 days,,Suppliers Involved:,3,
,,,,,,,,,
🏪 SUPPLIER ORDER SUMMARY,,,,,,,,,
,,,,,,,,,
Supplier,Items,Total Cost,Lead Time,Last Order,Contact,,,
Beauty Supply Co,1,$234.00,14 days,2024-01-10,sarah@beautysupply.com,,,
Glamour Wholesale,1,$224.00,21 days,2024-01-08,orders@glamourwholesale.com,,,
Premium Cosmetics,2,$405.00,18 days,2024-01-05,lisa@premiumcosmetics.net,,,
,,,,,,,,,
📅 REORDER SCHEDULE,,,,,,,,,
,,,,,,,,,
Priority,Product,Order By,Expected Delivery,Days Until Stockout,Risk Level,,,
🔴 URGENT,Drunk Elephant Vitamin C,TODAY,2024-01-29,Already out,Critical,,,
🔴 HIGH,Fenty Beauty Foundation 210,2024-01-17,2024-01-31,3 days,High,,,
🔴 HIGH,Urban Decay Eyeshadow Palette,2024-01-17,2024-02-04,1 day,Critical,,,
🟡 MEDIUM,Charlotte Tilbury Lipstick,2024-01-20,2024-02-07,7 days,Medium,,,
,,,,,,,,,
💡 REORDER OPTIMIZATION TIPS,,,,,,,,,
,,,,,,,,,
• Combine orders from same supplier to reduce shipping costs,,,,,,,,,
• Order 10% extra for fast-moving items to avoid frequent reorders,,,,,,,,,
• Check for bulk discount opportunities on larger quantities,,,,,,,,,
• Consider seasonal demand when setting reorder levels,,,,,,,,,
• Build relationships with suppliers for priority handling,,,,,,,,,
,,,,,,,,,
📧 QUICK ORDER TEMPLATES,,,,,,,,,
,,,,,,,,,
Beauty Supply Co Order:,,,,,,,,,
Subject: Urgent Reorder - Beauty Pro Inventory,,,,,,,,,
Hi Sarah - Need to place urgent order:,,,,,,,,,
• Fenty Beauty Foundation 210 (13 units),,,,,,,,,
Total: $234.00 | Expected delivery: 14 days,,,,,,,,,
,,,,,,,,,
Glamour Wholesale Order:,,,,,,,,,
Subject: Critical Restock Needed,,,,,,,,,
Hi Mike - Critical reorder needed:,,,,,,,,,
• Drunk Elephant Vitamin C (8 units),,,,,,,,,
Total: $224.00 | Rush delivery requested,,,,,,,,,
